University,Type,City,Program,Fee_per_credit_hr,Admission_Fee,Credit Hours,Semester Fee,Min_Academic_Percent,Min_Test_Score,Entry_Test_Required,Accreditations,Hostel,Transport,Extracurriculars,Website,address,est,apply 
Fast National University,Private,Karachi,BS Business Administration,"11,000","50,000",130,"176,000",0.5,0.5,yes,yes,yes,yes,"Technology and entrepreneurship clubs, research and innovation societies, cultural and literary festivals, sports, and community service.",https://www.nu.edu.pk/,,,
Fast National University,Private,Karachi,BS Accounting and Finance,"11,000","50,000",134,"176,000",0.5,0.5,yes,yes,yes,yes,"Technology and entrepreneurship clubs, research and innovation societies, cultural and literary festivals, sports, and community service.",https://www.nu.edu.pk/,,,
Fast National University,Private,Karachi,BS Artificial Intelligence,"11,000","50,000",133,"198,000",0.5,0.5,yes,yes,yes,yes,"Technology and entrepreneurship clubs, research and innovation societies, cultural and literary festivals, sports, and community service.",https://www.nu.edu.pk/,,,
Fast National University,Private,Karachi,BS Business Analytics,"11,000","50,000",131,"198,000",0.5,0.5,yes,yes,yes,yes,"Technology and entrepreneurship clubs, research and innovation societies, cultural and literary festivals, sports, and community service.",https://www.nu.edu.pk/,,,
Fast National University,Private,Karachi,BS Civil Engineering,"11,000","50,000",136,"198,000",0.5,0.5,yes,yes,yes,yes,"Technology and entrepreneurship clubs, research and innovation societies, cultural and literary festivals, sports, and community service.",https://www.nu.edu.pk/,,,
Fast National University,Private,Karachi,BS Computer Engineering,"11,000","50,000",136,"198,000",0.5,0.5,yes,yes,yes,yes,"Technology and entrepreneurship clubs, research and innovation societies, cultural and literary festivals, sports, and community service.",https://www.nu.edu.pk/,,,
Fast National University,Private,Karachi,BS Computer Science,"11,000","50,000",133,"198,000",0.5,0.5,yes,yes,yes,yes,"Technology and entrepreneurship clubs, research and innovation societies, cultural and literary festivals, sports, and community service.",https://www.nu.edu.pk/,,,
Fast National University,Private,Karachi,BS Cyber Security,"11,000","50,000",133,"198,000",0.5,0.5,yes,yes,yes,yes,"Technology and entrepreneurship clubs, research and innovation societies, cultural and literary festivals, sports, and community service.",https://www.nu.edu.pk/,,,
Fast National University,Private,Karachi,BS Data Science,"11,000","50,000",133,"176,000",0.5,0.5,yes,yes,yes,yes,"Technology and entrepreneurship clubs, research and innovation societies, cultural and literary festivals, sports, and community service.",https://www.nu.edu.pk/,,,
Fast National University,Private,Karachi,BS Electrical Engineering,"11,000","50,000",136,"173,000",0.5,0.5,yes,yes,yes,yes,"Technology and entrepreneurship clubs, research and innovation societies, cultural and literary festivals, sports, and community service.",https://www.nu.edu.pk/,,,
Fast National University,Private,Karachi,BS Financial Technology,"11,000","50,000",130,"189,000",0.5,0.5,yes,yes,yes,yes,"Technology and entrepreneurship clubs, research and innovation societies, cultural and literary festivals, sports, and community service.",https://www.nu.edu.pk/,,,
Fast National University,Private,Karachi,BS Software Engineering,"11,000","50,000",133,"160,000",0.5,0.5,yes,yes,yes,yes,"Technology and entrepreneurship clubs, research and innovation societies, cultural and literary festivals, sports, and community service.",https://www.nu.edu.pk/,,,
DOW University,Public,Karachi,Bachelor of Dental Surgery,"44,882","130,000",170,"763,000",0.5,0.6,yes,yes,yes,yes,"Medical and research societies, entrepreneurship and innovation clubs, cultural and literary events, sports, and community welfare activities.",https://www.duhs.edu.pk/,,,
